load,phase,episode,blocking_probability,fragmentation,utilisation,qkd_success_rate,mean_reward,blocked_route,blocked_qc,blocked_cc,blocked_dc,blocked_combination
90,online,7,0.012,0.3659528088754393,0.06375920771479981,0.988,0.976,0.0,0.0,0.0,0.012,0.0
90,online,8,0.004666666666666667,0.35352895730886263,0.06289344487236735,0.9953333333333333,0.9906666666666667,0.0,0.0,0.0,0.004666666666666667,0.0
90,online,9,0.013333333333333334,0.3741251603951473,0.06497827515015014,0.9866666666666667,0.9733333333333334,0.0,0.0,0.0,0.013333333333333334,0.0
90,online,10,0.006666666666666667,0.36402711952422284,0.06436063338926173,0.9933333333333333,0.9866666666666667,0.0,0.0,0.0,0.006666666666666667,0.0
90,eval,1,0.004666666666666667,0.362605694360526,0.0653313727952668,0.9953333333333333,0.9906666666666667,0.0,0.0,0.0,0.004666666666666667,0.0
90,eval,2,0.004,0.3475831249282931,0.06254036981258368,0.996,0.992,0.0,0.0,0.0,0.004,0.0
90,eval,3,0.010666666666666666,0.361239120007411,0.06285227613057802,0.9893333333333333,0.9786666666666667,0.0,0.0,0.0,0.010666666666666666,0.0
90,eval,4,0.010666666666666666,0.3711296060620353,0.06659035499026654,0.9893333333333333,0.9786666666666667,0.0,0.0,0.0,0.010666666666666666,0.0
90,eval,5,0.005333333333333333,0.38100178978878046,0.06481356586982424,0.9946666666666667,0.9893333333333333,0.0,0.0,0.0,0.005333333333333333,0.0
120,offline,1,0.036,0.4460784986744948,0.07919564987705546,0.964,0.928,0.0,0.0,0.0,0.036,0.0
120,offline,2,0.03333333333333333,0.4290403920652489,0.07818339319923372,0.9666666666666667,0.9333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0
120,offline,3,0.032,0.4224924627606273,0.07447732533670033,0.968,0.936,0.0,0.0,0.0,0.032,0.0
120,offline,4,0.038,0.4421648511688265,0.07748843795718796,0.962,0.924,0.0,0.0,0.0,0.038,0.0
120,offline,5,0.04066666666666666,0.42753026289237733,0.07636711209559108,0.9593333333333334,0.9186666666666666,0.0,0.0,0.0,0.04066666666666666,0.0
